"disease","metabolite","chemical_taxonomy"
"Aromatic L-amino acid decarboxylase deficiency","serotonin","Organoheterocyclic compounds"
"Aromatic L-amino acid decarboxylase deficiency","vanillylmandelic acid","Benzenoids"
"Aromatic L-amino acid decarboxylase deficiency","5-hydroxy-l-tryptophan","Organoheterocyclic compounds"
"Aromatic L-amino acid decarboxylase deficiency","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Aromatic L-amino acid decarboxylase deficiency","normetanephrine","Benzenoids"
"Aromatic L-amino acid decarboxylase deficiency","n-acetyl-l-tyrosine","Organic acids and derivatives"
"Aromatic L-amino acid decarboxylase deficiency","vanillactic acid","Phenylpropanoids and polyketides"
"Aromatic L-amino acid decarboxylase deficiency","3-methoxytyrosine","Organic acids and derivatives"
"Aromatic L-amino acid decarboxylase deficiency","vanylglycol","Benzenoids"
"Aromatic L-amino acid decarboxylase deficiency","vanilpyruvic acid","Benzenoids"
"Aromatic L-amino acid decarboxylase deficiency","n-acetylvanilalanine","Organic acids and derivatives"
"Hypothyroidism","dopamine","Benzenoids"
"Hypothyroidism","homovanillic acid","Benzenoids"
"Hypothyroidism","l-tyrosine","Organic acids and derivatives"
"Hypothyroidism","l-phenylalanine","Organic acids and derivatives"
"Hypothyroidism","norepinephrine","Benzenoids"
"Hypothyroidism","thyroxine","Organic acids and derivatives"
"Hypothyroidism","serotonin","Organoheterocyclic compounds"
"Hypothyroidism","liothyronine","Organic acids and derivatives"
"Hypothyroidism","3,5-diiodothyronine","Organic acids and derivatives"
"Hypothyroidism","l-tryptophan","Organoheterocyclic compounds"
"Hypothyroidism","3,4-dihydroxybenzeneacetic acid","Benzenoids"
"Hypothyroidism","thyroxine sulfate","Organic acids and derivatives"
"Vitiligo","dopamine","Benzenoids"
"Dopamine Beta-Hydroxylase Deficiency","dopamine","Benzenoids"
"Dopamine Beta-Hydroxylase Deficiency","norepinephrine","Benzenoids"
"Dopamine-serotonin Vesicular Transport Defect","dopamine","Benzenoids"
"Dopamine-serotonin Vesicular Transport Defect","homovanillic acid","Benzenoids"
"Dopamine-serotonin Vesicular Transport Defect","norepinephrine","Benzenoids"
"Dopamine-serotonin Vesicular Transport Defect","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Hypertension","dihydrouracil","Organoheterocyclic compounds"
"Hypertension","uracil","Organoheterocyclic compounds"
"Hypertension","linoleic acid","Lipids and lipid-like molecules"
"Hypertension","angiotensin ii","Organic acids and derivatives"
"Hypertension","arachidonic acid","Lipids and lipid-like molecules"
"Hypertension","alpha-linolenic acid","Lipids and lipid-like molecules"
"Hypertension","eicosapentaenoic acid","Lipids and lipid-like molecules"
"Hypertension","docosahexaenoic acid","Lipids and lipid-like molecules"
"Hypertension","p-octopamine","Benzenoids"
"Hypertension","p-synephrine","Benzenoids"
"Hypertension","m-tyramine","Benzenoids"
"Hypertension","20-hydroxyeicosatetraenoic acid","Lipids and lipid-like molecules"
"Hypertension","aldosterone 18-glucuronide","Lipids and lipid-like molecules"
"Hypertension","zinc","Homogeneous metal compounds"
"Liver disease","dihydrouracil","Organoheterocyclic compounds"
"Liver disease","uracil","Organoheterocyclic compounds"
"Liver disease","coproporphyrin iii","Organoheterocyclic compounds"
"Liver disease","coproporphyrin i","Organoheterocyclic compounds"
"Liver disease","heptacarboxylporphyrin i","Organoheterocyclic compounds"
"Liver disease","methanethiol","Organosulfur compounds"
"Beta-ureidopropionase deficiency","dihydrothymine","Organoheterocyclic compounds"
"Beta-ureidopropionase deficiency","thymine","Organoheterocyclic compounds"
"Beta-ureidopropionase deficiency","ureidoisobutyric acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","dimethylamine","Organic nitrogen compounds"
"Autosomal  dominant polycystic kidney disease","ethanol","Organic oxygen compounds"
"Autosomal  dominant polycystic kidney disease","glycine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","formic acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-glutamic acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","ethanolamine","Organic nitrogen compounds"
"Autosomal  dominant polycystic kidney disease","hypoxanthine","Organoheterocyclic compounds"
"Autosomal  dominant polycystic kidney disease","l-proline","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-threonine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-isoleucine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-histidine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-lysine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-serine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-lactic acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","isocitric acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","taurine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","sucrose","Organic oxygen compounds"
"Autosomal  dominant polycystic kidney disease","pyroglutamic acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","2-methylbutyrylglycine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","2-methylbutyroylcarnitine","Lipids and lipid-like molecules"
"Autosomal  dominant polycystic kidney disease","2-methyl-3-ketovaleric acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","levoglucosan","Organoheterocyclic compounds"
"Autosomal  dominant polycystic kidney disease","1-methylnicotinamide","Organoheterocyclic compounds"
"Autosomal  dominant polycystic kidney disease","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Autosomal  dominant polycystic kidney disease","nicotinamide riboside","Organic oxygen compounds"
"Autosomal  dominant polycystic kidney disease","n-acetyl-l-tyrosine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","trigonelline","Alkaloids and derivatives"
"Autosomal  dominant polycystic kidney disease","l-valine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","pyrocatechol","Benzenoids"
"Autosomal  dominant polycystic kidney disease","asymmetric dimethylarginine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","dihydroxyacetone","Organic oxygen compounds"
"Autosomal  dominant polycystic kidney disease","3-methylxanthine","Organoheterocyclic compounds"
"Autosomal  dominant polycystic kidney disease","salicylic acid","Benzenoids"
"Autosomal  dominant polycystic kidney disease","6-hydroxynicotinic acid","Organoheterocyclic compounds"
"Autosomal  dominant polycystic kidney disease","theobromine","Organoheterocyclic compounds"
"Autosomal  dominant polycystic kidney disease","nicotinuric acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","symmetric dimethylarginine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","d-glutamic acid","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","d-serine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","d-proline","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","13s-hydroxyoctadecadienoic acid","Lipids and lipid-like molecules"
"Autosomal  dominant polycystic kidney disease","n-acetylglutamine","Organic acids and derivatives"
"Autosomal  dominant polycystic kidney disease","hydroxyacetone","Organic oxygen compounds"
"Diabetes mellitus type 1","dimethylamine","Organic nitrogen compounds"
"Diabetes mellitus type 1","citric acid","Organic acids and derivatives"
"Diabetes mellitus type 1","gamma-aminobutyric acid","Organic acids and derivatives"
"Diabetes mellitus type 1","d-glucose","Organic oxygen compounds"
"Diabetes mellitus type 1","formic acid","Organic acids and derivatives"
"Diabetes mellitus type 1","l-lactic acid","Organic acids and derivatives"
"Diabetes mellitus type 1","pyruvic acid","Organic acids and derivatives"
"Diabetes mellitus type 1","hippuric acid","Benzenoids"
"Diabetes mellitus type 1","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Diabetes mellitus type 1","l-valine","Organic acids and derivatives"
"Diabetes mellitus type 1","2-(2-phenylacetoxy)propionylglycine","Organic acids and derivatives"
"Diabetes mellitus type 1","s-3-oxodecanoyl cysteamine","Lipids and lipid-like molecules"
"Uremia","dimethylamine","Organic nitrogen compounds"
"Uremia","guanidoacetic acid","Organic acids and derivatives"
"Uremia","hypoxanthine","Organoheterocyclic compounds"
"Uremia","methylamine","Organic nitrogen compounds"
"Uremia","l-asparagine","Organic acids and derivatives"
"Uremia","indoleacetic acid","Organoheterocyclic compounds"
"Uremia","phenylacetic acid","Benzenoids"
"Uremia","ornithine","Organic acids and derivatives"
"Uremia","norepinephrine","Benzenoids"
"Uremia","phenol","Benzenoids"
"Uremia","uric acid","Organoheterocyclic compounds"
"Uremia","l-cysteine","Organic acids and derivatives"
"Uremia","indoxyl sulfate","Organic acids and derivatives"
"Uremia","hippuric acid","Benzenoids"
"Uremia","kynurenic acid","Organoheterocyclic compounds"
"Uremia","homocysteine","Organic acids and derivatives"
"Uremia","neopterin","Organoheterocyclic compounds"
"Uremia","trimethylamine","Organic nitrogen compounds"
"Uremia","trimethylamine n-oxide","Organic nitrogen compounds"
"Uremia","2-aminobenzoic acid","Benzenoids"
"Uremia","spermine","Organic nitrogen compounds"
"Uremia","spermidine","Organic nitrogen compounds"
"Uremia","niacinamide","Organoheterocyclic compounds"
"Uremia","putrescine","Organic nitrogen compounds"
"Uremia","thiocyanate","Organosulfur compounds"
"Uremia","methylguanidine","Organic nitrogen compounds"
"Uremia","asymmetric dimethylarginine","Organic acids and derivatives"
"Uremia","1-methylguanosine","Nucleosides, nucleotides, and analogues"
"Uremia","guanidine","Organic nitrogen compounds"
"Uremia","oxalic acid","Organic acids and derivatives"
"Uremia","guanidinosuccinic acid","Organic acids and derivatives"
"Uremia","1-methyladenosine","Nucleosides, nucleotides, and analogues"
"Uremia","8-hydroxy-deoxyguanosine","Nucleosides, nucleotides, and analogues"
"Uremia","symmetric dimethylarginine","Organic acids and derivatives"
"Uremia","n1-methyl-2-pyridone-5-carboxamide","Organoheterocyclic compounds"
"Uremia","n1-methyl-4-pyridone-3-carboxamide","Organoheterocyclic compounds"
"Uremia","4-hydroxynonenal","Lipids and lipid-like molecules"
"Uremia","hexanal","Organic oxygen compounds"
"Uremia","malondialdehyde","Organic oxygen compounds"
"Uremia","indoxyl glucuronide","Organic oxygen compounds"
"Uremia","decanal","Organic oxygen compounds"
"Uremia","p-cresol sulfate","Organic acids and derivatives"
"Uremia","ethylamine","Organonitrogen compounds"
"Uremia","2-nonenal","Organic oxygen compounds"
"Uremia","acrolein","Organic oxygen compounds"
"Uremia","3-carboxy-4-methyl-5-propyl-2-furanpropionic acid","Lipids and lipid-like molecules"
"Duchenne Muscular Dystrophy","dimethylamine","Organic nitrogen compounds"
"Duchenne Muscular Dystrophy","l-arginine","Organic acids and derivatives"
"Duchenne Muscular Dystrophy","prostaglandin d2","Lipids and lipid-like molecules"
"Duchenne Muscular Dystrophy","asymmetric dimethylarginine","Organic acids and derivatives"
"Duchenne Muscular Dystrophy","nitrite","Inorganic compounds"
"Duchenne Muscular Dystrophy","nitrate","Homogeneous non-metal compounds"
"Paraquat poisoning","citric acid","Organic acids and derivatives"
"Paraquat poisoning","l-alanine","Organic acids and derivatives"
"Paraquat poisoning","l-lactic acid","Organic acids and derivatives"
"Paraquat poisoning","creatinine","Organic acids and derivatives"
"Paraquat poisoning","hippuric acid","Benzenoids"
"Paraquat poisoning","l-valine","Organic acids and derivatives"
"Paraquat poisoning","acetone","Organic oxygen compounds"
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome","citric acid","Organic acids and derivatives"
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome","l-lactic acid","Organic acids and derivatives"
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome","oxoglutaric acid","Organic acids and derivatives"
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome","4-hydroxyphenylpyruvic acid","Benzenoids"
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome","malic acid","Organic acids and derivatives"
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome","2-hydroxyglutarate","Organic acids and derivatives"
"Multi-infarct dementia","choline","Organic nitrogen compounds"
"Multi-infarct dementia","vanylglycol","Benzenoids"
"Multi-infarct dementia","phosphorylcholine","Organic nitrogen compounds"
"Small intestinal malabsorption","d-xylose","Organic oxygen compounds"
"Small bowel bacterial overgrowth syndrome","d-xylose","Organic oxygen compounds"
"Vitamin B12 deficiency","l-cystathionine","Organic acids and derivatives"
"Vitamin B12 deficiency","methylmalonic acid","Organic acids and derivatives"
"Vitamin B12 deficiency","2-methylcitric acid","Organic acids and derivatives"
"Vitamin B12 deficiency","cyanocobalamin","Organoheterocyclic compounds"
"Vitamin B12 deficiency","substance p","Organic Polymers"
"Cystathioninuria","l-cystathionine","Organic acids and derivatives"
"Cystathioninuria","homocysteine","Organic acids and derivatives"
"Cystathioninuria","n-acetylcystathionine","Organic acids and derivatives"
"Folate deficiency","l-cystathionine","Organic acids and derivatives"
"Folate deficiency","folic acid","Organic acids and derivatives"
"Adenosine deaminase deficiency","deoxyadenosine","Nucleosides, nucleotides, and analogues"
"Adenosine deaminase deficiency","deoxyadenosine triphosphate","Nucleosides, nucleotides, and analogues"
"Adenosine deaminase deficiency","1-methyladenine","Organoheterocyclic compounds"
"Galactosemia","galactitol","Organic oxygen compounds"
"Galactosemia","d-galactose","Organic oxygen compounds"
"Galactosemia","galactonic acid","Organic acids and derivatives"
"Alcoholism","ethanol","Organic oxygen compounds"
"Alcoholism","pantothenic acid","Organooxygen compounds"
"Alcoholism","thiamine","Organoheterocyclic compounds"
"Alcoholism","riboflavin","Organoheterocyclic compounds"
"Alcoholism","butanone","Organic oxygen compounds"
"Alcoholism","isopropyl alcohol","Organic oxygen compounds"
"Alcoholism","tetrahydrodeoxycorticosterone","Lipids and lipid-like molecules"
"Alcoholism","acetaldehyde","Organic oxygen compounds"
"Alcoholism","nicotinic acid","Organoheterocyclic compounds"
"Alcoholism","acetone","Organic oxygen compounds"
"Alcoholism","methanol","Organic oxygen compounds"
"Alcoholism","7a-hydroxy-cholestene-3-one","Lipids and lipid-like molecules"
"Alcoholism","dihydrotestosterone","Lipids and lipid-like molecules"
"Alcoholism","scyllo-inositol","Organic oxygen compounds"
"Cervical myelopathy","ethanol","Organic oxygen compounds"
"Febrile seizures","gamma-aminobutyric acid","Organic acids and derivatives"
"Hepatic encephalopathy","gamma-aminobutyric acid","Organic acids and derivatives"
"Hepatic encephalopathy","acetone","Organic oxygen compounds"
"Hepatic encephalopathy","2-heptanone","Organic oxygen compounds"
"Hepatic encephalopathy","iso-valeraldehyde","Organic oxygen compounds"
"Hyperekplexia","gamma-aminobutyric acid","Organic acids and derivatives"
"D-2-hydroxyglutaric aciduria","glycolic acid","Organic acids and derivatives"
"D-2-hydroxyglutaric aciduria","oxoglutaric acid","Organic acids and derivatives"
"D-2-hydroxyglutaric aciduria","succinic acid","Organic acids and derivatives"
"D-2-hydroxyglutaric aciduria","d-2-hydroxyglutaric acid","Organic acids and derivatives"
"D-2-hydroxyglutaric aciduria","l-2-hydroxyglutaric acid","Lipids and lipid-like molecules"
"D-2-hydroxyglutaric aciduria","2-hydroxyglutarate","Organic acids and derivatives"
"Ethylene glycol poisoning","glycolic acid","Organic acids and derivatives"
"Glutaric acidemia type 2","glycolic acid","Organic acids and derivatives"
"Glutaric acidemia type 2","l-glyceric acid","Organic oxygen compounds"
"Glycolic aciduria","glycolic acid","Organic acids and derivatives"
"Glycolic aciduria","oxalic acid","Organic acids and derivatives"
"Glycolic aciduria","l-glyceric acid","Organic oxygen compounds"
"Transurethral resection of the prostate","glycolic acid","Organic acids and derivatives"
"Transurethral resection of the prostate","glyoxylic acid","Organic acids and derivatives"
"Primary hyperoxaluria I","glycolic acid","Organic acids and derivatives"
"Primary hyperoxaluria I","glyoxylic acid","Organic acids and derivatives"
"Primary hyperoxaluria I","oxalic acid","Organic acids and derivatives"
"Branched-chain Keto Acid Dehydrogenase Kinase Deficiency","glycolic acid","Organic acids and derivatives"
"Branched-chain Keto Acid Dehydrogenase Kinase Deficiency","l-isoleucine","Organic acids and derivatives"
"Branched-chain Keto Acid Dehydrogenase Kinase Deficiency","l-leucine","Organic acids and derivatives"
"Branched-chain Keto Acid Dehydrogenase Kinase Deficiency","ketoleucine","Organic acids and derivatives"
"Branched-chain Keto Acid Dehydrogenase Kinase Deficiency","hydroxypropionic acid","Organic acids and derivatives"
"Branched-chain Keto Acid Dehydrogenase Kinase Deficiency","l-valine","Organic acids and derivatives"
"Major depressive disorder","homovanillic acid","Benzenoids"
"Major depressive disorder","indoleacetic acid","Organoheterocyclic compounds"
"Major depressive disorder","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Major depressive disorder","tetrahydrodeoxycorticosterone","Lipids and lipid-like molecules"
"Major depressive disorder","alpha-linolenic acid","Lipids and lipid-like molecules"
"Major depressive disorder","vanylglycol","Benzenoids"
"Major depressive disorder","eicosapentaenoic acid","Lipids and lipid-like molecules"
"Major depressive disorder","5-methoxydimethyltryptamine","Organoheterocyclic compounds"
"Major depressive disorder","docosahexaenoic acid","Lipids and lipid-like molecules"
"Major depressive disorder","dihydrotestosterone","Lipids and lipid-like molecules"
"Major depressive disorder","n-methyltryptamine","Organoheterocyclic compounds"
"Friedreich's ataxia","homovanillic acid","Benzenoids"
"Friedreich's ataxia","thiamine","Organoheterocyclic compounds"
"Friedreich's ataxia","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Friedreich's ataxia","l-tryptophan","Organoheterocyclic compounds"
"Friedreich's ataxia","vanylglycol","Benzenoids"
"Narcolepsy","homovanillic acid","Benzenoids"
"Narcolepsy","substance p","Organic Polymers"
"Olivopontocerebral atrophy","homovanillic acid","Benzenoids"
"Olivopontocerebral atrophy","thiamine","Organoheterocyclic compounds"
"Olivopontocerebral atrophy","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Olivopontocerebral atrophy","l-tryptophan","Organoheterocyclic compounds"
"Olivopontocerebral atrophy","vanylglycol","Benzenoids"
"Panic disorder","homovanillic acid","Benzenoids"
"Panic disorder","vanylglycol","Benzenoids"
"Sepiapterin reductase deficiency","homovanillic acid","Benzenoids"
"Sepiapterin reductase deficiency","l-dopa","Organic acids and derivatives"
"Sepiapterin reductase deficiency","serotonin","Organoheterocyclic compounds"
"Sepiapterin reductase deficiency","biopterin","Organoheterocyclic compounds"
"Sepiapterin reductase deficiency","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Sepiapterin reductase deficiency","neopterin","Organoheterocyclic compounds"
"Sepiapterin reductase deficiency","3-methoxytyrosine","Organic acids and derivatives"
"Sepiapterin reductase deficiency","vanylglycol","Benzenoids"
"Hereditary spastic paraplegia","homovanillic acid","Benzenoids"
"Hereditary spastic paraplegia","thiamine","Organoheterocyclic compounds"
"Hereditary spastic paraplegia","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Hereditary spastic paraplegia","l-tryptophan","Organoheterocyclic compounds"
"Hereditary spastic paraplegia","vanylglycol","Benzenoids"
"Parkinsonian syndrome","homovanillic acid","Benzenoids"
"Pyridoxamine 5-prime-phosphate oxidase deficiency","homovanillic acid","Benzenoids"
"Pyridoxamine 5-prime-phosphate oxidase deficiency","glycine","Organic acids and derivatives"
"Pyridoxamine 5-prime-phosphate oxidase deficiency","l-threonine","Organic acids and derivatives"
"Pyridoxamine 5-prime-phosphate oxidase deficiency","l-histidine","Organic acids and derivatives"
"Pyridoxamine 5-prime-phosphate oxidase deficiency","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Pyridoxamine 5-prime-phosphate oxidase deficiency","3-methoxytyrosine","Organic acids and derivatives"
"Urocanase deficiency","homovanillic acid","Benzenoids"
"Urocanase deficiency","urocanic acid","Organoheterocyclic compounds"
"Urocanase deficiency","biopterin","Organoheterocyclic compounds"
"Urocanase deficiency","neopterin","Organoheterocyclic compounds"
"Fibromyalgia","folic acid","Organic acids and derivatives"
"Fibromyalgia","fe2+","Homogeneous metal compounds"
"Fibromyalgia","substance p","Organic Polymers"
"Hereditary folate malabsorption","folic acid","Organic acids and derivatives"
"Acute myelogenous leukemia","d-glucose","Organic oxygen compounds"
"Fructose-1,6-diphosphatase deficiency","d-glucose","Organic oxygen compounds"
"Fructose-1,6-diphosphatase deficiency","l-lactic acid","Organic acids and derivatives"
"Fructose-1,6-diphosphatase deficiency","pyruvic acid","Organic acids and derivatives"
"Fructose-1,6-diphosphatase deficiency","uric acid","Organoheterocyclic compounds"
"Fructose-1,6-diphosphatase deficiency","carbon dioxide","Homogeneous non-metal compounds"
"Hyperlipoproteinemia","d-glucose","Organic oxygen compounds"
"Glucagon deficiency","d-glucose","Organic oxygen compounds"
"Glucagon deficiency","l-alanine","Organic acids and derivatives"
"Glucagon deficiency","pyruvic acid","Organic acids and derivatives"
"Leigh's syndrome, subacute necrotizing encephalopathy, SNE","d-glucose","Organic oxygen compounds"
"Leigh's syndrome, subacute necrotizing encephalopathy, SNE","l-lactic acid","Organic acids and derivatives"
"Leigh's syndrome, subacute necrotizing encephalopathy, SNE","pyruvic acid","Organic acids and derivatives"
"Leigh's syndrome, subacute necrotizing encephalopathy, SNE","hydrogen carbonate","Organic acids and derivatives"
"Short/branched chain acyl-CoA dehydrogenase deficiency","d-glucose","Organic oxygen compounds"
"Short/branched chain acyl-CoA dehydrogenase deficiency","2-methylbutyrylglycine","Organic acids and derivatives"
"Short/branched chain acyl-CoA dehydrogenase deficiency","2-ethylhydracrylic acid","Lipids and lipid-like molecules"
"Short/branched chain acyl-CoA dehydrogenase deficiency","l-alloisoleucine","Organic acids and derivatives"
"Short/branched chain acyl-CoA dehydrogenase deficiency","isovalerylglycine","Organic acids and derivatives"
"Short/branched chain acyl-CoA dehydrogenase deficiency","valerylcarnitine","Lipids and lipid-like molecules"
"2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency","d-glucose","Organic oxygen compounds"
"2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency","l-lactic acid","Organic acids and derivatives"
"2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency","2-methyl-3-hydroxybutyric acid","Lipids and lipid-like molecules"
"2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency","tiglylglycine","Organic acids and derivatives"
"Fanconi Bickel syndrome","d-glucose","Organic oxygen compounds"
"Fanconi Bickel syndrome","uric acid","Organoheterocyclic compounds"
"Fanconi Bickel syndrome","hydrogen carbonate","Organic acids and derivatives"
"Beckwith-Wiedemann Syndrome","d-glucose","Organic oxygen compounds"
"Diabetes and Deafness, Maternally Inherited","d-glucose","Organic oxygen compounds"
"Familial partial lipodystrophy","d-glucose","Organic oxygen compounds"
"Familial partial lipodystrophy","creatinine","Organic acids and derivatives"
"Hyperinsulinemic hypoglycemia, familial, 1, HHF1","d-glucose","Organic oxygen compounds"
"Hypoglycemia, familial neonatal","d-glucose","Organic oxygen compounds"
"Lipodystrophy","d-glucose","Organic oxygen compounds"
"Lipodystrophy, Congenital Generalized","d-glucose","Organic oxygen compounds"
"Lipodystrophy, Congenital Generalized","creatinine","Organic acids and derivatives"
"Maturity onset diabetes of the young, type 2","d-glucose","Organic oxygen compounds"
"Partial lipodystrophy","d-glucose","Organic oxygen compounds"
"Partial lipodystrophy","creatinine","Organic acids and derivatives"
"3-Phosphoglycerate dehydrogenase deficiency","glycine","Organic acids and derivatives"
"3-Phosphoglycerate dehydrogenase deficiency","l-serine","Organic acids and derivatives"
"Carbamoyl Phosphate Synthetase Deficiency","glycine","Organic acids and derivatives"
"Carbamoyl Phosphate Synthetase Deficiency","l-lysine","Organic acids and derivatives"
"Carbamoyl Phosphate Synthetase Deficiency","uracil","Organoheterocyclic compounds"
"Carbamoyl Phosphate Synthetase Deficiency","l-glutamine","Organic acids and derivatives"
"Carbamoyl Phosphate Synthetase Deficiency","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"D-Glyceric acidemia","glycine","Organic acids and derivatives"
"D-Glyceric acidemia","glyceric acid","Organic oxygen compounds"
"Glucoglycinuria","glycine","Organic acids and derivatives"
"Histidinemia","glycine","Organic acids and derivatives"
"Histidinemia","l-alanine","Organic acids and derivatives"
"Histidinemia","l-histidine","Organic acids and derivatives"
"Histidinemia","l-lysine","Organic acids and derivatives"
"Histidinemia","n-ribosylhistidine","Organic acids and derivatives"
"Juvenile myoclonic epilepsy","glycine","Organic acids and derivatives"
"Juvenile myoclonic epilepsy","l-serine","Organic acids and derivatives"
"Juvenile myoclonic epilepsy","l-cystine","Organic acids and derivatives"
"Refractory localization-related epilepsy","glycine","Organic acids and derivatives"
"Refractory localization-related epilepsy","l-lysine","Organic acids and derivatives"
"Refractory localization-related epilepsy","l-serine","Organic acids and derivatives"
"Refractory localization-related epilepsy","l-cystine","Organic acids and derivatives"
"Sarcosinemia","glycine","Organic acids and derivatives"
"Sarcosinemia","l-serine","Organic acids and derivatives"
"Sarcosinemia","sarcosine","Organic acids and derivatives"
"Iminoglycinuria","glycine","Organic acids and derivatives"
"Iminoglycinuria","l-proline","Organic acids and derivatives"
"Iminoglycinuria","4-hydroxyproline","Organic acids and derivatives"
"Nonketotic Hyperglycinemia","glycine","Organic acids and derivatives"
"D-Glyceric acidura","glycine","Organic acids and derivatives"
"D-Glyceric acidura","glyceric acid","Organic oxygen compounds"
"Epilepsy, early-onset, vitamin B6-dependent","glycine","Organic acids and derivatives"
"Epilepsy, early-onset, vitamin B6-dependent","l-alanine","Organic acids and derivatives"
"Epilepsy, early-onset, vitamin B6-dependent","pyridoxine","Organoheterocyclic compounds"
"Epilepsy, early-onset, vitamin B6-dependent","l-leucine","Organic acids and derivatives"
"Epilepsy, early-onset, vitamin B6-dependent","3-methoxytyrosine","Organic acids and derivatives"
"Hyperglycinemia, lactic acidosis, and seizures","glycine","Organic acids and derivatives"
"Hyperglycinemia, lactic acidosis, and seizures","l-lactic acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","glycine","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","fumaric acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-glutamic acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-alanine","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-proline","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-isoleucine","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-lysine","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-lactic acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","oxoglutaric acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","pyruvic acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","succinic acid","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","hydrogen carbonate","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-glutamine","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-leucine","Organic acids and derivatives"
"Lipoyltransferase 1 Deficiency","l-valine","Organic acids and derivatives"
"Neu-Laxova Syndrome 1","glycine","Organic acids and derivatives"
"Neu-Laxova Syndrome 1","l-serine","Organic acids and derivatives"
"Phosphoserine Aminotransferase Deficiency","glycine","Organic acids and derivatives"
"Phosphoserine Aminotransferase Deficiency","l-serine","Organic acids and derivatives"
"Phosphoserine Phosphatase Deficiency","glycine","Organic acids and derivatives"
"Phosphoserine Phosphatase Deficiency","l-serine","Organic acids and derivatives"
"Gamma-glutamyl transpeptidase deficiency","glutathione","Organic acids and derivatives"
"Alkaptonuria","homogentisic acid","Benzenoids"
"Glycerol kinase deficiency","glycerol","Organic oxygen compounds"
